random_seed,kernel_size,stride,n_filters,crop,max_prob,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,14,2,100,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,45.358334,47.630005,54.978333,60.8,61.6,69.2
0,14,2,144,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,61.715,62.01167,64.28,76.8,74.8,82.8
0,14,2,144,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,70.659996,69.925,73.128334,80.0,79.2,86.799995
0,14,2,144,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,78.33,78.285,80.63167,89.200005,87.6,94.0
0,12,2,100,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,75.058334,74.954994,75.98833,87.6,86.4,91.6
0,14,2,144,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,64.07834,63.646664,70.26167,78.0,78.0,84.4
0,12,2,144,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,67.27166,66.75167,63.629997,81.2,78.4,86.0
0,12,2,100,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,50.006664,51.36167,49.475,64.4,62.800003,64.0
0,12,2,100,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,65.99167,65.49,64.275,81.2,78.4,85.2
0,12,2,100,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,60.135002,59.983334,60.995003,79.2,77.200005,81.2
0,14,2,144,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,54.94,55.833332,61.106667,69.6,70.0,75.2
0,12,2,100,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,71.16499,70.81501,72.51501,83.600006,82.8,88.4
