seed,n_train,time,lr,lr_decay,update_interval,max_prob,mean_accuracy,max_accuracy
0,60000,50,0.001,0.98,500,1.0,77.99167,86.0
0,60000,50,0.0025,0.91,500,1.0,80.555,88.0
0,60000,50,0.001,0.96,500,1.0,79.683334,87.8
0,60000,50,0.001,0.94,500,1.0,80.04,88.0
0,60000,50,0.001,0.92,500,1.0,80.221664,88.8
0,60000,50,0.0025,0.92,500,1.0,80.21834,90.0
0,60000,50,0.0025,0.95,500,1.0,79.01833,88.200005
0,60000,50,0.0025,0.97,500,1.0,76.731674,87.0
0,60000,50,0.005,0.94,500,1.0,77.009995,88.8
0,60000,50,0.005,0.92,500,1.0,78.579994,87.2
0,60000,50,0.005,0.98,500,1.0,67.0,80.4
0,60000,50,0.001,0.93,500,1.0,80.08167,88.200005
0,60000,50,0.005,0.95,500,1.0,75.965004,87.4
0,60000,50,0.01,0.92,500,1.0,75.32834,88.200005
0,60000,50,0.0025,0.94,500,1.0,79.68999,87.6
0,60000,50,0.005,0.91,500,1.0,78.840004,88.0
0,60000,50,0.001,0.97,500,1.0,78.96667,87.6
0,60000,50,0.001,0.95,500,1.0,79.85832,88.200005
0,60000,50,0.0075,0.94,500,1.0,74.878334,89.0
0,60000,50,0.0075,0.92,500,1.0,76.71167,89.600006
0,60000,50,0.0025,0.93,500,1.0,80.07667,88.8
0,60000,50,0.0025,0.98,500,1.0,74.00833,83.8
0,60000,50,0.005,0.93,500,1.0,78.11667,89.600006
0,60000,50,0.005,0.97,500,1.0,71.518326,86.0
0,60000,50,0.01,0.91,500,1.0,76.17334,89.0
0,60000,50,0.005,0.96,500,1.0,74.488335,88.0
0,60000,50,0.0025,0.96,500,1.0,78.28,87.6
0,60000,50,0.0075,0.91,500,1.0,77.675,88.0
0,60000,50,0.0075,0.93,500,1.0,76.028336,88.4
1,60000,10,0.0075,0.93,500,1.0,80.78833,87.6
0,60000,50,0.01,0.95,500,1.0,71.12667,88.4
0,60000,50,0.0075,0.97,500,1.0,67.28834,84.799995
0,60000,50,0.0075,0.98,500,1.0,61.270004,77.8
0,60000,50,0.0075,0.95,500,1.0,73.23333,87.2
0,60000,50,0.01,0.97,500,1.0,63.391666,84.2
0,60000,50,0.0075,0.96,500,1.0,71.291664,88.0
0,60000,50,0.01,0.94,500,1.0,72.88167,89.200005
0,60000,50,0.01,0.96,500,1.0,68.01833,86.6
0,60000,50,0.01,0.98,500,1.0,56.164997,75.2
1,60000,10,0.0075,0.94,500,1.0,80.541664,87.0
1,60000,10,0.0075,0.95,500,1.0,80.23499,88.6
1,60000,10,0.0075,0.96,500,1.0,79.755,86.4
1,60000,10,0.0075,0.97,500,1.0,78.82334,87.6
1,60000,10,0.01,0.91,500,1.0,81.00833,86.6
0,60000,50,0.01,0.93,500,1.0,74.21,88.8
1,60000,10,0.0075,0.98,500,1.0,77.30501,84.799995
1,60000,10,0.01,0.92,500,1.0,80.9,87.6
0,60000,50,0.001,0.91,500,1.0,80.16333,88.4
1,60000,10,0.01,0.93,500,1.0,80.68166,87.4
1,60000,10,0.01,0.94,500,1.0,80.41167,86.6
