random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,norm,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
1,400,16000,100.0,250,1.0,1.0,0.001,75.0,0.5,10,100,46.96875,47.5125,48.89375,61.0,65.0,64.0
1,400,16000,100.0,250,1.0,1.0,1e-05,62.575,0.5,10,100,56.26875,56.33125,57.35625,71.0,71.0,73.0
1,400,16000,100.0,250,1.0,1.0,1e-05,50.0,0.5,10,100,55.70625,56.125,57.1375,71.0,72.0,72.0
1,400,16000,100.0,250,1.0,1.0,0.001,62.575,0.5,10,100,47.5375,47.61875,48.14375,62.0,62.0,62.0
1,400,16000,100.0,250,1.0,5.0,0.0001,50.0,0.5,10,100,53.94375,54.2125,54.4,69.0,68.0,74.0
1,400,16000,100.0,250,1.0,5.0,1e-05,75.0,0.5,10,100,59.60625,60.175,60.29375,73.0,73.0,77.0
1,400,16000,100.0,250,1.0,1.0,0.0001,87.5,0.5,10,100,50.11875,50.36875,51.8875,66.0,65.0,69.0
1,400,16000,100.0,250,1.0,1.0,0.001,87.5,0.5,10,100,47.725,47.9,49.09375,64.0,62.0,64.0
1,400,16000,100.0,250,1.0,5.0,1e-05,62.575,0.5,10,100,59.59375,60.06875,59.9125,71.0,71.0,74.0
1,400,16000,100.0,250,1.0,1.0,1e-05,37.5,0.5,10,100,53.59375,53.79375,55.3125,70.0,69.0,67.0
1,400,16000,100.0,250,1.0,1.0,0.001,37.5,0.5,10,100,43.54375,43.6875,43.95625,58.999996,58.999996,58.0
1,400,16000,100.0,250,1.0,5.0,1e-05,87.5,0.5,10,100,58.125,58.55,59.54375,73.0,72.0,76.0
1,400,16000,100.0,250,1.0,10.0,0.0001,37.5,0.5,10,100,53.7875,54.03125,53.7,71.0,72.0,71.0
1,400,16000,100.0,250,1.0,1.0,0.0001,75.0,0.5,10,100,49.46875,50.14375,51.65625,65.0,65.0,63.0
