random_seed,n_neurons,n_train,excite,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,X_Ae_decay,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
2,100,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,76.54166666666667,77.20416666666667,87,87
1,100,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,76.73333333333333,77.30416666666666,90,90
1,100,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,76.04166666666667,76.46666666666667,87,89
1,625,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,80.25833333333334,80.52083333333333,94,93
1,100,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,76.65416666666667,77.62916666666666,89,90
1,225,60000,100.0,500.0,350,1.0,0.05,1e-07,0.45,10,250,0.5,82.17916666666666,82.825,93,93
1,625,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,80.25833333333334,80.52083333333333,94,93
1,225,60000,100.0,500.0,350,1.0,0.05,1e-07,0.45,10,250,0.0,82.17916666666666,82.825,93,93
1,100,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,76.65416666666667,77.62916666666666,89,90
1,100,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,76.04166666666667,76.46666666666667,87,89
1,225,60000,100.0,500.0,350,1.0,0.05,1e-07,0.45,10,250,0.25,82.17916666666666,82.825,93,93
2,100,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,76.54166666666667,77.20416666666667,87,87
2,100,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,74.81666666666666,75.01666666666667,89,90
1,100,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,74.05833333333334,74.22916666666667,86,88
1,400,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,82.99583333333334,83.34166666666667,95,97
2,100,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,75.45,75.77916666666667,89,90
1,100,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,75.47083333333333,75.63333333333334,86,87
1,400,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,84.35416666666667,84.79166666666667,95,94
2,100,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,76.54166666666667,77.20416666666667,87,87
2,100,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,75.5125,75.9875,90,89
1,400,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,84.90833333333333,85.1125,97,96
1,100,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,76.73333333333333,77.30416666666666,90,90
2,100,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,75.69166666666666,76.24166666666666,89,89
2,225,60000,100.0,500.0,350,1.0,0.05,1e-07,0.45,10,250,0.75,82.60416666666667,83.15,93,94
1,225,60000,100.0,550.0,350,1.0,0.05,1e-07,0.45,10,250,0.25,81.30416666666666,81.77083333333333,92,92
