random_seed,kernel_size,stride,n_filters,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
2,20,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.67916666666666,86.9,96,96
1,12,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.98333333333333,81.55833333333334,94,94
1,24,2,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.3,86.63333333333334,97,97
5,18,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,89.15416666666667,89.44583333333334,98,98
2,22,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.275,79.61666666666666,89,89
4,18,2,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.1875,80.11666666666666,93,93
3,16,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.44166666666666,87.9,96,96
2,16,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,76.98333333333333,76.5125,90,89
2,20,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.89166666666667,78.9375,90,89
3,14,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.54583333333333,88.05833333333334,98,98
2,22,2,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.97916666666667,82.14166666666667,91,92
2,26,2,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.5875,84.25833333333334,94,96
2,24,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.3,84.78333333333333,95,95
3,22,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.79583333333333,81.41666666666667,92,92
3,16,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.78333333333333,78.52083333333333,93,91
2,24,2,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.20833333333333,85.40416666666667,96,96
3,12,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.575,85.27916666666667,94,96
2,22,2,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.225,83.44166666666666,94,95
2,20,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.16666666666667,87.34166666666667,96,96
2,24,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.44166666666666,85.19583333333334,94,94
2,24,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.3,85.04583333333333,97,97
3,22,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.22083333333333,84.61666666666666,93,94
3,22,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.10416666666667,83.50416666666666,94,95
1,22,2,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.00833333333334,86.3625,96,97
3,22,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.08333333333333,85.60833333333333,94,94
3,20,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.20416666666667,81.2625,90,90
